neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Western Addition,94115,Condominium,Entire home/apt,5,2,3,3,Real Bed,$575.00,"$5,200.00","$14,500.00",$500.00,$150.00,2,$75.00,3,21,53,7,9/28/13,10/4/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Inner Richmond,94118,Guest suite,Entire home/apt,6,1,1,3,Real Bed,$170.00,"$1,010.00","$3,500.00",$200.00,$70.00,2,$20.00,2,60,207,41,8/12/13,9/28/19,87,9,9,10,10,10,9,moderate
Financial District,94105,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,$173.00,,"$5,200.00",$300.00,$285.00,1,$0.00,30,1125,4,1,6/17/15,8/4/19,100,10,10,9,10,10,8,strict_14_with_grace_period
Western Addition,94115,Apartment,Entire home/apt,2,1,1,0,Real Bed,$140.00,"$1,500.00","$3,300.00",$500.00,$160.00,2,$100.00,30,365,26,4,12/4/13,9/17/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Crocker Amazon,94112,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$88.00,$488.00,"$1,788.00",$0.00,$60.00,1,$0.00,3,14,173,42,7/18/16,10/5/19,98,10,10,10,10,9,9,moderate
Western Addition,94117,Apartment,Private room,3,1.5,2,2,Real Bed,$125.00,,,$100.00,$75.00,2,$25.00,3,10,420,58,8/29/13,10/6/19,98,10,10,10,10,10,10,moderate
Downtown/Civic Center,94102,Hostel,Private room,4,1,0,2,Real Bed,$175.00,,,,,1,$0.00,1,15,101,0,8/7/13,10/27/17,97,10,10,10,10,10,10,strict_14_with_grace_period
Outer Richmond,94121,House,Private room,2,1,1,1,Real Bed,$85.00,,,$100.00,$25.00,2,$0.00,2,14,240,66,8/11/15,10/7/19,98,10,9,10,10,10,10,moderate
Western Addition,94117,Apartment,Entire home/apt,6,1,3,3,Real Bed,$258.00,"$2,200.00","$7,000.00",$500.00,$200.00,4,$25.00,30,1125,48,1,8/12/13,11/26/18,93,10,10,9,9,9,9,moderate
Haight Ashbury,94117,Apartment,Entire home/apt,4,1,1,2,Real Bed,$265.00,"$1,400.00","$5,100.00",$300.00,$75.00,1,$0.00,3,29,183,40,12/17/13,10/2/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Marina,94123,Condominium,Entire home/apt,4,2,2,2,Real Bed,$345.00,"$1,950.00","$8,000.00",$800.00,$100.00,1,$0.00,30,1125,49,0,8/25/13,10/18/17,98,10,10,10,10,10,9,moderate
Bernal Heights,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$199.00,"$1,199.00","$3,499.00",$500.00,,2,$25.00,4,29,127,30,8/13/13,9/27/19,96,10,10,10,10,10,10,moderate
Downtown/Civic Center,94102,Hotel,Private room,4,1,0,2,Real Bed,$179.00,,,,,1,$0.00,2,15,65,0,9/23/13,5/4/17,95,10,10,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94102,House,Entire home/apt,2,1,1,1,Real Bed,$250.00,,,,$100.00,1,$0.00,30,120,148,6,10/6/13,10/5/19,99,10,10,10,10,10,10,moderate
Bernal Heights,94110,Guest suite,Entire home/apt,6,1,1,3,Real Bed,$167.00,,,$300.00,$70.00,2,$40.00,2,1124,318,64,8/12/13,10/2/19,92,9,9,10,10,10,9,moderate
Outer Mission,94112,House,Entire home/apt,6,2,3,4,Real Bed,$295.00,"$2,200.00",,$0.00,$210.00,5,$40.00,3,20,65,4,4/6/15,10/2/19,99,10,10,10,10,9,10,moderate
Western Addition,94117,Apartment,Entire home/apt,4,1,2,2,Real Bed,$300.00,"$1,900.00","$6,000.00",$350.00,$75.00,1,$0.00,2,1125,42,0,8/13/13,11/9/17,92,9,9,10,10,10,9,moderate
Noe Valley,94114,Apartment,Entire home/apt,5,1,2,3,Real Bed,$170.00,,"$7,140.00","$1,000.00",$250.00,1,$0.00,30,1125,27,4,8/25/13,8/29/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94117,Apartment,Entire home/apt,4,1,2,2,Real Bed,$249.00,"$1,199.00","$4,599.00",$300.00,$200.00,4,$25.00,30,1125,24,2,5/20/14,8/26/19,92,10,10,9,9,10,10,moderate
Bayview,94124,House,Entire home/apt,5,1,2,3,Real Bed,$337.00,"$2,880.00","$9,954.00",$800.00,$180.00,4,$120.00,3,29,68,9,3/20/14,10/4/19,97,10,10,10,10,10,10,moderate
Mission,94110,Apartment,Entire home/apt,4,2,2,2,Real Bed,$300.00,"$1,800.00","$6,800.00",$300.00,$150.00,4,$100.00,3,61,26,5,9/17/13,7/23/19,98,10,9,10,10,9,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,2,1,1,1,Real Bed,$185.00,"$1,100.00",,$200.00,$45.00,1,$25.00,1,1125,12,1,9/16/14,3/30/19,97,10,9,10,10,10,9,flexible
Outer Mission,94112,House,Entire home/apt,8,2,4,5,Real Bed,$250.00,"$1,600.00",,$200.00,$150.00,6,$15.00,3,30,25,2,1/3/14,8/15/19,99,10,10,10,10,10,10,moderate
Marina,94123,Condominium,Entire home/apt,5,1.5,3,4,Real Bed,$499.00,,,"$2,500.00",$125.00,4,$100.00,1,1125,114,16,9/30/13,9/26/19,97,10,10,10,10,10,9,strict_14_with_grace_period
Outer Mission,94112,Apartment,Entire home/apt,4,1,2,3,Real Bed,$150.00,$775.00,"$2,950.00",$100.00,$60.00,2,$10.00,3,1125,274,46,10/22/13,9/30/19,99,10,10,10,10,9,10,moderate
Mission,94110,Apartment,Private room,2,1,1,1,Real Bed,$145.00,$875.00,"$2,850.00",$100.00,$29.00,1,$0.00,2,60,353,57,8/31/13,10/4/19,99,10,10,10,10,10,10,moderate
Western Addition,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$250.00,"$1,475.00",,$350.00,$50.00,2,$0.00,3,14,33,10,9/28/13,10/4/19,98,10,10,10,10,10,9,moderate
Potrero Hill,94107,Apartment,Entire home/apt,4,1,2,2,Real Bed,$250.00,"$1,325.00","$4,995.00",$500.00,$150.00,4,$35.00,2,1125,170,56,9/2/13,10/2/19,93,10,10,10,10,10,9,strict_14_with_grace_period
Western Addition,94115,Apartment,Entire home/apt,4,1,2,2,Real Bed,$149.00,"$1,400.00","$5,200.00","$5,000.00",$150.00,1,$0.00,30,1125,57,0,9/28/13,12/10/17,97,10,10,10,10,10,10,moderate
Bernal Heights,94110,Apartment,Entire home/apt,2,1,1,1,Real Bed,$165.00,"$1,000.00","$3,500.00",$200.00,$80.00,2,$25.00,30,1125,58,1,9/10/13,7/25/19,99,10,10,10,10,10,10,moderate
Pacific Heights,94115,Apartment,Entire home/apt,3,1,1,1,Real Bed,$210.00,"$1,400.00","$5,000.00",$0.00,$100.00,2,$20.00,30,1125,198,3,9/15/13,9/27/19,96,10,10,10,10,10,10,moderate
Bernal Heights,94110,Apartment,Private room,2,1,1,1,Real Bed,$125.00,$975.00,,$600.00,$90.00,2,$50.00,1,30,136,24,9/5/13,9/24/19,100,10,10,10,10,10,10,moderate
Nob Hill,94133,Apartment,Entire home/apt,2,1,1,1,Real Bed,$145.00,"$1,700.00","$3,800.00","$1,000.00",$150.00,3,$0.00,30,90,24,0,3/1/14,10/20/16,98,10,10,10,10,10,10,moderate
Western Addition,94117,House,Entire home/apt,2,1,1,0,Real Bed,$235.00,,,"$1,000.00",$99.00,2,$40.00,30,90,104,2,8/17/13,3/1/19,94,10,10,10,10,9,9,moderate
Haight Ashbury,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$148.00,,"$3,400.00","$1,700.00",,1,$0.00,30,1125,7,1,10/28/13,7/18/19,89,10,9,9,9,9,8,flexible
Castro/Upper Market,94110,House,Entire home/apt,4,1,2,2,Real Bed,$350.00,"$2,975.00","$9,300.00",$750.00,$150.00,4,$75.00,2,29,78,7,9/17/13,10/2/19,98,10,10,10,10,10,9,moderate
South of Market,94102,Apartment,Entire home/apt,2,1,1,1,Real Bed,$125.00,,"$3,700.00",$500.00,$80.00,1,$0.00,30,999,39,7,12/23/13,10/1/19,96,10,10,10,10,10,9,strict_14_with_grace_period
Western Addition,94102,Apartment,Entire home/apt,2,1,0,1,Real Bed,$100.00,,"$3,200.00",$500.00,$80.00,1,$0.00,30,1125,31,3,12/14/13,4/29/19,97,10,9,10,10,10,9,moderate
Mission,94110,Guest suite,Entire home/apt,3,1,1,2,Real Bed,$199.00,,,,$75.00,2,$25.00,5,25,152,32,9/4/13,9/26/19,98,10,10,10,10,10,10,moderate
Outer Richmond,94121,Guest suite,Entire home/apt,8,1,2,4,Real Bed,$145.00,"$1,200.00","$5,400.00",$300.00,$175.00,6,$25.00,30,364,376,63,5/21/14,10/6/19,93,10,9,10,10,10,9,flexible
South of Market,,Condominium,Entire home/apt,2,2,1,2,Real Bed,$150.00,,,"$1,000.00",$150.00,1,$0.00,30,90,3,3,12/31/18,6/23/19,100,10,10,10,10,10,9,moderate
Haight Ashbury,94117,House,Entire home/apt,4,2.5,4,6,Real Bed,$800.00,,,"$1,000.00",$200.00,4,$0.00,30,30,70,0,9/8/13,10/16/16,93,10,10,10,10,9,9,strict_14_with_grace_period
Potrero Hill,94107,Guest suite,Entire home/apt,2,1,0,1,Real Bed,$209.00,$999.00,"$3,799.00",$0.00,$59.00,2,$0.00,31,1125,412,24,2/18/14,2/15/19,94,10,10,10,10,10,9,flexible
Bernal Heights,94110,House,Entire home/apt,6,2.5,3,3,Real Bed,$485.00,"$3,500.00",,"$1,000.00",$185.00,6,$50.00,4,14,6,2,2/10/15,7/19/19,100,10,9,9,10,9,10,moderate
Mission,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$395.00,"$2,199.00","$8,375.00",,$120.00,2,$0.00,30,400,129,4,8/31/13,8/24/19,98,10,10,10,10,10,9,moderate
Mission,94110,Condominium,Entire home/apt,4,1,2,2,Real Bed,$180.00,"$1,250.00","$4,456.00",$500.00,$120.00,2,$50.00,6,60,85,14,9/10/13,10/2/19,96,10,9,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,House,Entire home/apt,2,1,1,1,Real Bed,$120.00,"$1,500.00","$3,400.00",$0.00,$100.00,1,$0.00,30,150,40,3,10/1/13,6/30/19,100,10,10,10,10,10,10,flexible
Bernal Heights,94131,Apartment,Entire home/apt,4,2,3,2,Real Bed,$350.00,"$2,100.00",,,,1,$0.00,30,31,10,0,10/31/13,2/9/15,98,10,10,10,10,10,10,flexible
Western Addition,94117,Condominium,Entire home/apt,2,1,1,1,Real Bed,$220.00,"$1,500.00","$5,000.00",$400.00,$60.00,2,$75.00,7,29,34,2,9/18/13,12/9/18,99,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,1,1.5,1,1,Real Bed,$89.00,$750.00,"$3,200.00",$125.00,$30.00,1,$70.00,2,29,151,29,2/6/14,10/3/19,94,10,9,10,10,10,10,moderate
Western Addition,94102,Apartment,Entire home/apt,2,1,0,1,Real Bed,$116.00,,"$3,200.00",$500.00,$80.00,1,$0.00,30,1125,43,5,11/23/13,10/1/19,93,9,9,10,10,9,9,strict_14_with_grace_period
Downtown/Civic Center,94102,Hotel,Private room,4,1,0,2,Real Bed,$169.00,,,,,1,$0.00,2,7,55,0,9/13/13,5/4/17,96,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94115,House,Private room,2,1,1,1,Real Bed,$295.00,"$1,200.00",,,,1,$15.00,1,21,77,8,9/19/13,9/28/19,99,10,10,10,10,10,10,moderate
Western Addition,94115,House,Private room,2,1,1,2,Real Bed,$99.00,,"$3,500.00",$100.00,$100.00,1,$25.00,2,28,228,58,2/14/15,10/8/19,96,10,10,10,10,10,10,moderate
Outer Sunset,94122,House,Private room,2,1,1,1,Real Bed,$85.00,$547.00,"$1,932.00",$0.00,$50.00,1,$30.00,1,21,131,6,9/16/13,9/4/19,95,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94115,House,Private room,2,1,1,1,Real Bed,$195.00,"$1,300.00","$4,300.00",$250.00,$75.00,2,$75.00,2,18,51,6,9/23/13,8/12/19,100,10,10,10,10,10,10,moderate
Downtown/Civic Center,94102,Hotel,Private room,4,1,0,2,Real Bed,$175.00,,,,,1,$0.00,1,15,69,0,9/14/13,9/2/16,95,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94114,Guest suite,Entire home/apt,2,1,0,1,Real Bed,$200.00,"$1,350.00","$4,950.00",$300.00,$60.00,1,$0.00,3,365,146,33,11/6/13,9/30/19,97,10,10,10,10,10,10,moderate
Mission,94110,House,Private room,2,1,1,1,Real Bed,$150.00,"$1,125.00",,$0.00,$50.00,2,$0.00,3,27,229,45,11/1/13,9/25/19,98,10,10,10,10,10,10,flexible
Downtown/Civic Center,94102,Hotel,Private room,4,1,0,2,Real Bed,$169.00,,,,,1,$0.00,2,10,48,0,10/25/13,8/31/17,98,10,10,10,10,10,10,strict_14_with_grace_period
Nob Hill,94133,Apartment,Private room,2,1,1,1,Real Bed,$166.00,"$1,449.00","$5,000.00",$150.00,$80.00,1,$15.00,30,380,40,2,3/15/14,5/17/19,94,10,9,10,9,10,9,strict_14_with_grace_period
Downtown/Civic Center,94108,Apartment,Private room,1,1,1,1,Real Bed,$129.00,$750.00,"$1,750.00",,,1,$0.00,30,1124,37,0,9/26/13,8/26/18,96,10,9,10,10,10,9,flexible
South of Market,94107,Apartment,Entire home/apt,4,1,1,2,Real Bed,$200.00,"$1,000.00","$4,220.00",$600.00,$600.00,2,$70.00,30,1000,26,4,9/22/13,9/6/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Downtown/Civic Center,94102,Hotel,Private room,4,1,0,2,Real Bed,$169.00,,,,,1,$0.00,1,15,55,0,9/18/13,10/27/17,98,10,10,10,10,10,10,strict_14_with_grace_period
Excelsior,94112,Apartment,Entire home/apt,1,1,1,1,Real Bed,$139.00,,,,$59.00,1,$0.00,3,7,59,19,8/13/16,9/14/19,94,10,10,10,10,9,9,moderate
Excelsior,94134,House,Private room,2,1,1,1,Airbed,$65.00,,,$100.00,$30.00,2,$20.00,1,59,215,52,3/18/16,9/30/19,80,9,8,9,9,9,8,moderate
Excelsior,94134,House,Private room,2,1,1,1,Real Bed,$61.00,,,$100.00,$30.00,2,$20.00,1,59,113,30,10/15/13,9/28/19,89,10,9,10,10,9,9,moderate
Mission,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$118.00,,,"$3,000.00",$120.00,2,$20.00,2,40,11,11,3/22/19,9/29/19,95,10,10,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,1,1,1,1,Real Bed,$139.00,$922.00,"$2,700.00",$500.00,$50.00,1,$30.00,2,45,90,18,9/30/13,9/28/19,99,10,10,10,10,10,10,moderate
West of Twin Peaks,94127,Guest suite,Entire home/apt,4,1,2,3,Real Bed,$225.00,,,$200.00,$100.00,1,$0.00,3,28,77,17,10/20/13,9/1/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Ocean View,94132,Townhouse,Private room,1,1,1,1,Real Bed,$29.00,$400.00,"$1,500.00",$100.00,$50.00,1,$0.00,180,1125,8,0,10/24/13,1/30/15,88,9,9,10,10,8,9,moderate
Western Addition,94115,House,Private room,3,1,2,2,Real Bed,$230.00,"$1,500.00","$5,000.00",$500.00,$75.00,2,$75.00,2,18,58,25,10/21/13,9/28/19,100,10,10,10,10,10,10,moderate
Mission,94110,House,Private room,6,2.5,4,5,Real Bed,$539.00,,,"$1,200.00",$300.00,4,$100.00,4,1125,109,5,10/3/13,6/29/19,94,10,10,10,10,10,9,moderate
Outer Richmond,94121,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$150.00,$800.00,"$3,000.00",,$25.00,2,$25.00,3,29,199,43,11/13/14,10/12/19,98,10,10,10,10,10,10,moderate
Potrero Hill,94107,House,Private room,1,1,1,1,Real Bed,$95.00,,,$150.00,$30.00,1,$20.00,2,20,193,64,10/24/13,9/30/19,99,10,10,10,10,10,10,moderate
Castro/Upper Market,94114,House,Entire home/apt,5,2.5,3,3,Real Bed,$525.00,"$3,000.00","$8,000.00","$1,000.00",$200.00,5,$25.00,3,365,147,22,10/16/13,9/28/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,2,1,0,1,Real Bed,$141.00,,"$3,500.00","$1,750.00",,1,$0.00,30,1125,2,0,9/1/14,7/31/18,100,8,10,10,9,9,10,flexible
Marina,94123,Condominium,Entire home/apt,2,1,1,1,Real Bed,$285.00,,,$500.00,$100.00,1,$0.00,3,1125,14,4,10/8/13,8/27/19,97,10,9,10,10,10,9,strict_14_with_grace_period
Downtown/Civic Center,94102,Hotel,Private room,4,1,0,2,Real Bed,$179.00,,,,,1,$0.00,1,15,45,0,10/21/13,11/3/16,98,10,10,10,10,10,10,strict_14_with_grace_period
Inner Richmond,94118,Apartment,Entire home/apt,6,1,2,3,Real Bed,$190.00,,,$100.00,,4,$20.00,1,1,72,21,10/21/13,10/4/19,98,10,10,10,10,10,10,flexible
Western Addition,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$155.00,,"$2,950.00","$2,500.00",$65.00,1,$20.00,30,180,84,2,10/15/13,8/31/19,88,9,9,10,10,10,9,strict_14_with_grace_period
Western Addition,94117,Condominium,Entire home/apt,6,2,4,5,Real Bed,"$1,000.00",,"$12,500.00","$5,000.00",$175.00,6,$50.00,30,360,127,1,10/16/13,4/30/19,91,9,9,10,10,10,9,strict_14_with_grace_period
Mission,94110,House,Private room,2,2.5,1,1,Real Bed,$105.00,,,$0.00,$50.00,1,$0.00,2,14,200,29,9/25/13,9/13/19,96,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,Apartment,Private room,1,1,4,4,Real Bed,$65.00,,,"$1,500.00",$150.00,1,$20.00,59,179,1,1,8/31/19,8/31/19,100,8,10,10,10,8,6,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,4,1,2,2,Pull-out Sofa,$418.00,,,,$100.00,4,$0.00,2,20,23,4,8/19/14,9/2/19,100,10,10,10,10,10,9,moderate
Twin Peaks,94114,House,Entire home/apt,4,2,2,2,Real Bed,$373.00,,,$450.00,$165.00,2,$35.00,3,27,270,42,9/29/13,10/5/19,98,10,10,10,10,10,10,moderate
South of Market,94105,Apartment,Entire home/apt,4,2,2,2,Real Bed,$325.00,"$2,499.00","$8,820.00","$1,500.00",$175.00,2,$79.00,30,1125,28,2,10/5/13,8/17/19,93,9,9,9,10,10,9,strict_14_with_grace_period
Outer Sunset,94116,Apartment,Entire home/apt,4,1,1,2,Real Bed,$133.00,,,$175.00,$75.00,1,$20.00,2,1125,358,26,10/5/13,7/7/19,96,10,10,10,10,9,9,moderate
Western Addition,94104,House,Entire home/apt,8,3.5,4,4,Real Bed,$750.00,,,$0.00,$100.00,1,$0.00,6,14,5,1,12/28/15,1/1/19,88,10,8,10,10,10,9,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,$290.00,,,,$100.00,1,$0.00,4,30,20,5,8/7/14,9/20/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94102,Apartment,Entire home/apt,5,1.5,1,1,Real Bed,$180.00,"$1,012.00","$3,800.00",$600.00,$90.00,2,$55.00,1,100,476,100,10/8/13,10/10/19,98,10,10,10,10,10,9,moderate
Noe Valley,94110,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,$165.00,,"$5,250.00",$500.00,$100.00,1,$0.00,30,300,102,2,10/20/13,7/21/19,95,10,10,10,10,9,9,strict_14_with_grace_period
Haight Ashbury,94117,Condominium,Private room,2,1.5,1,1,Real Bed,$90.00,,"$2,500.00",$0.00,$45.00,1,$35.00,2,90,131,32,7/31/15,9/24/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Inner Sunset,94131,Apartment,Private room,1,1,1,1,Real Bed,$60.00,,,$0.00,$50.00,1,$20.00,30,70,10,1,6/10/17,7/31/19,96,10,9,10,10,10,9,strict_14_with_grace_period
Potrero Hill,94107,Townhouse,Private room,2,1.5,1,1,Real Bed,$115.00,$950.00,,$150.00,$30.00,1,$0.00,2,30,130,25,7/5/14,10/3/19,97,10,10,10,10,10,10,moderate
Bernal Heights,94110,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$155.00,$700.00,,$250.00,$60.00,2,$35.00,2,30,125,70,1/28/18,10/9/19,99,10,10,10,10,10,10,moderate
Marina,94123,House,Entire home/apt,3,1,2,2,Real Bed,$215.00,,"$6,050.00","$1,000.00",$200.00,2,$0.00,60,730,15,0,10/19/13,11/5/14,97,10,9,9,10,10,9,strict_14_with_grace_period
Potrero Hill,94107,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$215.00,"$1,100.00","$3,500.00",$100.00,$70.00,1,$65.00,2,1125,206,45,12/14/13,10/5/19,96,10,9,10,10,10,9,moderate
Western Addition,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$175.00,,,,$50.00,1,$0.00,3,10,87,19,10/19/15,8/15/19,98,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Condominium,Entire home/apt,2,1,1,1,Real Bed,$160.00,"$1,150.00","$5,040.00",$350.00,$100.00,2,$25.00,30,70,37,0,10/13/13,9/19/17,99,10,10,10,10,10,10,moderate
Pacific Heights,94115,Condominium,Entire home/apt,2,1,1,2,Real Bed,$200.00,"$1,000.00","$3,750.00","$1,000.00",$100.00,2,$25.00,30,1125,0,0,,,,,,,,,,strict_14_with_grace_period
Western Addition,94115,Condominium,Private room,2,1,1,1,Real Bed,$109.00,,,$500.00,$75.00,1,$25.00,3,21,233,44,10/27/13,10/10/19,99,10,10,10,10,10,10,moderate
Mission,94110,Apartment,Entire home/apt,10,1.5,4,6,Real Bed,$418.00,"$2,500.00","$7,000.00",$300.00,$250.00,4,$25.00,3,1125,98,19,10/14/13,10/6/19,93,9,9,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,House,Entire home/apt,11,3,5,7,Real Bed,"$1,450.00","$7,000.00",,"$2,500.00",$300.00,8,$75.00,6,1124,10,2,6/10/16,8/1/19,94,10,10,10,10,10,9,strict_14_with_grace_period
Outer Richmond,94121,Guest suite,Entire home/apt,3,1,1,1,Real Bed,$133.00,,,$150.00,$100.00,2,$15.00,1,29,112,81,6/14/18,10/10/19,94,10,10,10,10,10,9,moderate
West of Twin Peaks,94127,House,Private room,1,3,1,1,Real Bed,$45.00,$450.00,"$1,425.00",$500.00,$49.00,1,$49.00,2,30,202,49,10/22/13,9/17/19,94,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94110,Apartment,Private room,1,1,1,0,Real Bed,$170.00,,"$3,200.00",$150.00,$70.00,1,$0.00,3,1125,26,3,1/13/15,8/9/19,100,10,10,10,10,10,9,moderate
South of Market,94107,Condominium,Entire home/apt,2,1,1,1,Real Bed,$170.00,,"$5,000.00",$300.00,$50.00,2,$20.00,30,365,103,0,10/28/13,3/30/18,93,9,9,9,10,8,9,moderate
Western Addition,94117,Apartment,Entire home/apt,5,1,2,2,Real Bed,$285.00,"$1,800.00","$6,000.00",,$100.00,3,$0.00,3,1125,91,30,10/29/13,10/13/19,93,10,9,10,10,10,9,strict_14_with_grace_period
Mission,94110,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$150.00,"$1,000.00","$4,250.00",$500.00,$100.00,1,$0.00,30,364,14,3,1/5/14,9/4/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Noe Valley,94114,Apartment,Entire home/apt,2,1,1,1,Real Bed,$250.00,,,,$50.00,2,$25.00,2,21,268,59,11/11/13,10/7/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Pacific Heights,94115,Apartment,Entire home/apt,2,1,1,1,Real Bed,$150.00,,"$4,500.00","$1,000.00",$50.00,1,$0.00,30,90,16,3,5/23/14,4/19/19,100,10,10,9,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Private room,2,1,1,1,Real Bed,$70.00,$750.00,"$2,650.00",$100.00,$55.00,1,$25.00,1,60,192,34,6/15/14,10/1/19,96,10,10,9,10,10,10,moderate
Mission,94103,Apartment,Entire home/apt,2,1,1,1,Real Bed,$225.00,"$1,500.00","$5,000.00","$1,000.00",$150.00,1,$0.00,31,90,1,0,11/21/13,11/21/13,100,10,10,8,10,10,10,strict_14_with_grace_period
Western Addition,94115,House,Private room,2,1,1,1,Real Bed,$115.00,$800.00,,$200.00,$100.00,1,$15.00,30,89,202,21,11/11/13,4/30/19,99,10,10,10,10,10,10,moderate
Inner Richmond,94118,Guest suite,Entire home/apt,3,1,1,1,Real Bed,$135.00,$900.00,"$2,425.00",$0.00,$60.00,2,$25.00,3,14,281,51,1/18/14,9/28/19,97,10,10,10,10,10,10,moderate
Nob Hill,94109,Apartment,Entire home/apt,2,1,1,1,Real Bed,$89.00,"$1,100.00","$4,200.00",$100.00,$69.00,1,$0.00,30,184,193,0,10/31/13,2/14/18,95,9,10,9,9,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,5,1,2,2,Real Bed,$135.00,,"$4,250.00",$0.00,$100.00,2,$10.00,30,1125,18,0,6/13/14,4/21/18,90,9,9,9,9,10,9,strict_14_with_grace_period
Western Addition,94117,Apartment,Private room,2,3,1,2,Real Bed,$60.00,,"$2,100.00",,$30.00,1,$10.00,30,180,8,0,12/15/13,7/17/16,98,9,9,10,10,10,10,strict_14_with_grace_period
Potrero Hill,94107,Apartment,Entire home/apt,2,1,1,1,Real Bed,$110.00,,,$300.00,$100.00,2,$50.00,30,120,95,3,1/31/14,7/31/19,98,10,10,10,10,9,9,strict_14_with_grace_period
Inner Richmond,94115,Guest suite,Entire home/apt,2,1,1,3,Real Bed,$128.00,"$1,175.00","$2,580.00",$250.00,$95.00,2,$25.00,4,425,111,34,12/1/13,9/23/19,96,10,10,10,10,10,10,strict_14_with_grace_period
Potrero Hill,94107,Apartment,Entire home/apt,4,1,1,2,Real Bed,$190.00,,,$200.00,$100.00,2,$25.00,2,29,316,64,11/23/13,9/24/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Diamond Heights,94131,House,Entire home/apt,8,3,3,5,Real Bed,$600.00,,,$500.00,$200.00,7,$25.00,3,28,62,10,6/4/14,9/29/19,94,10,9,10,10,9,9,moderate
South of Market,94107,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,$220.00,,,,$100.00,1,$0.00,30,180,8,2,3/17/17,6/16/19,100,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94103,Apartment,Private room,2,1,1,1,Real Bed,$79.00,$464.00,"$1,599.00",$300.00,$49.00,1,$39.00,3,31,105,15,2/28/14,9/26/19,94,9,9,10,10,9,9,moderate
Mission,94103,Apartment,Private room,2,1,1,1,Real Bed,$75.00,$499.00,"$1,749.00",$300.00,$45.00,1,$39.00,3,120,64,9,2/5/14,9/27/19,92,10,9,10,10,9,9,strict_14_with_grace_period
Western Addition,94102,Apartment,Entire home/apt,4,2,2,2,Real Bed,$145.00,"$1,295.00","$5,500.00","$2,000.00",$85.00,4,$0.00,30,365,143,2,11/23/13,7/27/19,96,10,9,10,10,10,9,strict_14_with_grace_period
Western Addition,94115,Apartment,Entire home/apt,2,1,0,1,Real Bed,$94.00,,,"$2,500.00",$104.00,1,$0.00,30,1125,32,4,11/22/13,9/24/19,85,9,9,9,9,9,9,strict_14_with_grace_period
