neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Western Addition,94115,Guest suite,Entire home/apt,4,1,1,1,Real Bed,$195.00,"$1,049.00","$3,336.00",$0.00,$20.00,4,$20.00,5,31,314,52,4/9/10,10/12/19,96,10,10,10,10,10,10,moderate
Noe Valley,94131,House,Private room,2,1,1,1,Real Bed,$150.00,,,,$25.00,1,$10.00,5,28,39,16,6/21/16,10/7/19,99,10,10,10,10,10,10,moderate
Western Addition,94117,Townhouse,Private room,2,1,1,1,Real Bed,$110.00,,,$150.00,$30.00,1,$0.00,3,29,429,44,10/26/10,9/28/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Potrero Hill,94107,House,Private room,3,1,0,1,Real Bed,$125.00,$800.00,,$300.00,$50.00,2,$30.00,4,180,313,24,7/17/10,10/3/19,95,10,9,10,10,10,10,moderate
Western Addition,94117,Apartment,Entire home/apt,10,2,4,7,Real Bed,$450.00,,,$500.00,$160.00,4,$30.00,2,30,33,4,7/30/11,6/20/19,91,9,8,9,9,9,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,2,1,1,1,Real Bed,$125.00,"$1,100.00","$3,700.00","$3,000.00",$125.00,2,$0.00,30,1125,132,3,5/14/10,9/15/19,100,10,10,10,10,10,10,moderate
Mission,94110,Condominium,Private room,4,1,1,2,Real Bed,$199.00,"$9,999.00","$9,999.00",$0.00,$75.00,2,$50.00,1,29,27,2,5/4/15,7/28/19,96,10,10,10,10,10,9,strict_14_with_grace_period
Bernal Heights,94110,House,Entire home/apt,4,2,2,2,Real Bed,$220.00,"$1,250.00",,$100.00,$140.00,5,$0.00,4,70,16,4,7/19/11,8/15/19,97,10,10,10,10,9,10,strict_14_with_grace_period
Outer Richmond,94121,Apartment,Entire home/apt,4,1,1,2,Real Bed,$155.00,"$1,000.00",,,,2,$20.00,2,30,58,25,8/17/10,10/8/19,99,10,10,10,10,10,10,flexible
Bernal Heights,94110,Apartment,Entire home/apt,2,1,1,2,Real Bed,$150.00,$950.00,"$2,700.00",$200.00,$0.00,2,$10.00,30,30,94,1,7/11/10,9/29/19,96,10,10,10,10,9,9,strict_14_with_grace_period
Potrero Hill,94107,House,Entire home/apt,2,1,1,0,Real Bed,$240.00,,,$0.00,$110.00,1,$0.00,1,14,571,19,9/21/10,10/10/19,99,10,10,10,10,10,10,strict_14_with_grace_period
